Item_ID	Sentence	Trace	SentenceParse
133:24	and everybody had duties 0 *-1 to perform *t*-2.	object	(TOP (S (CC and) (NP-SBJ-1 (NN everybody)) (VP (VBD had) (NP (NP (NNS duties)) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB perform) (NP (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))
901:67	i find people being kind of polite and waiting for it to finish what it has *t*-1 0 *-3 to say *t*-2,	object	(TOP (S (NP-SBJ (PRP I)) (VP (VBP find) (S (NP-SBJ (NNS people)) (VP (VP (VBG being) (ADVP (RB kind) (RB of)) (ADJP-PRD (JJ polite))) (CC and) (VP (VBG waiting) (SBAR (IN for) (S (NP-SBJ (PRP it)) (VP (TO to) (VP (VB finish) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ-3 (PRP it)) (VP (VBZ has) (NP (NP (-NONE- *T*-1)) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (VP (VB say) (NP (-NONE- *T*-2)))))))))))))))))) (, ,) (-DFL- E_S)))
902:24	and then they feel an obligation *-1 to respond even though there's not even a person there.	neither	(TOP (S (CONJP (CC and) (RB then)) (NP-SBJ-1 (PRP they)) (VP (VBP feel) (NP-PRD (DT an) (NN obligation) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB respond) (SBAR-ADV (RB even) (IN though) (S (NP-SBJ (EX there)) (VP (BES 's) (RB not) (ADVP (RB even)) (NP-PRD (DT a) (NN person)) (ADVP-LOC (RB there)))))))))) (. .) (-DFL- E_S)))
975:33	because, you don't have anyway 0 *-1 to turn it off *t*-2.	adjunct	(TOP (SBAR-PRP (IN because) (, ,) (S (NP-SBJ-1 (PRP you)) (VP (VBP do) (RB n't) (VP (VB have) (NP (NP (TYPO (RB anyway))) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB turn) (NP (PRP it)) (PRT (RP off)) (ADVP-MNR (-NONE- *T*-2)))))))))) (. .) (-DFL- E_S)))
1098:41	but it does mean that you have yet another reason 0 *-1 to follow a set of social norms *t*-2.	adjunct	(TOP (S (CC But) (NP-SBJ (PRP it)) (VP (VBZ does) (VP (VB mean) (SBAR (IN that) (S (NP-SBJ-1 (PRP you)) (VP (VBP have) (NP (NP (RB yet) (DT another) (NN reason)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB follow) (NP (NP (DT a) (NN set)) (PP (IN of) (NP (JJ social) (NNS norms)))) (ADVP-PRP (-NONE- *T*-2)))))))))))) (. .) (-DFL- E_S)))
1234:15	time 0 * to, you know, start *-1 going to bed *t*-2	adjunct	(TOP (NP-TMP (NP (NN time)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ-1 (-NONE- *)) (VP (TO to) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (VP (VB start) (S (NP-SBJ (-NONE- *-1)) (VP (VBG going) (PP (IN to) (NP (NN bed))))) (ADVP-TMP (-NONE- *T*-2)))))) (-DFL- E_S)))
1240:27	now, i agree with their right * to, uh, pursue their religion of choice, in that, whatever manner 0 they want *-1 to *?* *t*-2,	adjunct	(TOP (S (INTJ (UH Now)) (, ,) (NP-SBJ (PRP I)) (VP (VBP agree) (PP (IN with) (NP (PRP$ their) (NN right) (S (NP-SBJ (-NONE- *)) (VP (TO to) (, ,) (INTJ (UH uh)) (, ,) (VP (VB pursue) (NP (NP (PRP$ their) (NN religion)) (PP (IN of) (NP (NN choice)))) (, ,) (PP (IN in) (EDITED (RM (-DFL- \[)) (NP (DT that)) (, ,) (IP (-DFL- \+))) (NP (NP (WDT whatever) (RS (-DFL- \])) (NN manner)) (SBAR (WHNP-2 (-NONE- 0)) (S (NP-SBJ-1 (PRP they)) (VP (VBP want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (-NONE- *?*) (NP (-NONE- *T*-2)))))))))))))))) (, ,) (-DFL- E_S)))
1369:31	it's kind of an easy thing 0 * to talk about *t*-1.	adjunct	(TOP (S (NP-SBJ (PRP It)) (VP (BES 's) (ADVP (RB kind) (RB of)) (NP-PRD (NP (DT an) (JJ easy) (NN thing)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB talk) (PP (IN about) (NP (-NONE- *T*-1))))))))) (. .) (-DFL- E_S)))
1425:42	i don't think that men really took the time 0 * to work on that sort of thing *t*-1.	adjunct	(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB think) (SBAR (IN that) (S (NP-SBJ (NNS men)) (ADVP (RB really)) (VP (VBD took) (NP (NP (DT the) (NN time)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB work) (PP (IN on) (NP (NP (DT that) (NN sort)) (PP (IN of) (NP (NN thing))))) (ADVP (-NONE- *T*-1)))))))))))) (. .) (-DFL- E_S)))
1466:39	i think 0 that would be a wonderful way 0 * to do it *t*-1.	adjunct	(TOP (S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (DT that)) (VP (MD would) (VP (VB be) (NP-PRD (NP (DT a) (JJ wonderful) (NN way)) (SBAR (WHADVP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB do) (NP (PRP it)) (ADVP-MNR (-NONE- *T*-1)))))))))))) (. .) (-DFL- E_S)))
